CODIGO,DESCRIPCION,F.COMPRA,P.COMPRA,DEPRE.ACU,V.ACTUAL,Meses.Deprec,Deprec.Mensual,CuotaxDeprec
5631,'REG.VOLTAJE OMEGA','10/09/2012','0.00','0.00','0.00',,,
5632,'REG.VOLTAJE OMEGA','10/09/2012','0.00','0.00','0.00',,,
5634,'MOUSE SIRAGON GENE','10/09/2012','0.00','0.00','0.00',,,
5635,'MOUSE SIRAGON GENE','10/09/2012','0.00','0.00','0.00',,,
5636,'MOUSE SIRAGON GENE','10/09/2012','0.00','0.00','0.00',,,
5637,'TECLADO SIRAGON GE','10/09/2012','0.00','0.00','0.00',,,
5638,'TECLADO SIRAGON GE','10/09/2012','0.00','0.00','0.00',,,
5639,'TECLADO SIRAGON GE','10/09/2012','0.00','0.00','0.00',,,
301,'MONITOR SVGA 15" A','20/09/2005','232.17','232.09','0.08',36,'6.45',0
318,'PROTECTOR AIRE ACO','19/05/2003','0.00','0.00','0.00',36,'0.00',''
654,'UPS AVTEK RLS-3000','20/05/2003','0.00','0.00','0.00',36,'0.00',''
1213,'CPU INTEL PENTIUM','22/07/2005','1.041.30','1.041.27','0.03',36,'28.93',0
1443,'SWITCH 24 PUERTOS','14/03/2006','192.98','192.97','0.01',36,'5.36',0
1908,'CPU','30/06/2007','813.00','812.90','0.10',36,'22.58',0
5575,'LAPTO SIRAG.MN-70','02/07/2012','6.250.00','3.472.20','2.777.80',36,'173.61',16
5576,'LAPTO SIRAG.MN-70','02/07/2012','6.250.00','3.472.20','2.777.80',36,'173.61',16
5577,'LAPTO SIRAG.MN-70','02/07/2012','6.250.00','3.472.20','2.777.80',36,'173.61',16
5580,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5581,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5582,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5583,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5584,'MONITOR LCD 18.5"','02/07/2012','884.00','491.00','393.00',36,'24.56',16
5717,'ROUTER 450 WI FI','17/09/2012','875.00','437.40','437.60',36,'24.31',18
5718,'SERVIDOR SIRAGNON','17/09/2012','13.571.00','6.785.46','6.785.54',36,'376.97',18
360,'SWCHIT DATA MEGA','19/05/2003','0.00','0.00','0.00',36,'0.00',''
376,'ROUTER HUGHES','19/05/2003','0.00','0.00','0.00',36,'0.00',''
452,'MOUSE TREKKER','19/05/2003','0.00','0.00','0.00',36,'0.00',''
492,'PRINTER JETDIRECT','19/05/2003','0.00','0.00','0.00',36,'0.00',''
496,'IMP. CODIGOS DE BA','19/05/2003','0.00','0.00','0.00',36,'0.00',''
501,'HUB 8 PTOS.PLANET','19/05/2003','0.00','0.00','0.00',36,'0.00',''
556,'CALC.CANON 14 DIG.','19/05/2003','0.00','0.00','0.00',36,'0.00',''
577,'CPU SP','19/05/2003','0.00','0.00','0.00',36,'0.00',''
590,'TECLADO SONIC','19/05/2003','0.00','0.00','0.00',36,'0.00',''
611,'MOUSE','19/05/2003','0.00','0.00','0.00',36,'0.00',''
651,'PROTECTOR INTER PO','20/05/2003','0.00','0.00','0.00',36,'0.00',''
660,'PROTECTOR INTEGRA','21/05/2003','0.00','0.00','0.00',36,'0.00',''
663,'CPU','21/05/2003','0.00','0.00','0.00',36,'0.00',''
667,'REGULADOR INTEGRA','21/05/2003','0.00','0.00','0.00',36,'0.00',''
684,'CARGADOR DE BATERI','18/07/2003','77.59','77.59','0.00',36,'2.16',''
694,'PALM TERMINAL SPT1','21/07/2003','1.260.00','1.260.00','0.00',36,'35.00',''
695,'PALM TERMINAL SPT1','21/07/2003','1.260.00','1.260.00','0.00',36,'35.00',''
710,'FAX MODEM 56K CNET','15/08/2003','113.97','113.96','0.01',36,'3.17',0
746,'UPS  500 VA AVR CZ','26/09/2003','98.28','98.28','0.00',36,'2.73',''
747,'UPS  500 VA AVR CZ','26/09/2003','98.28','98.28','0.00',36,'2.73',''
766,'FOTOCOPIADORA XERO','12/11/2003','6.475.58','6.475.58','0.00',36,'179.88',''
783,'FOTOCOPIADORA M15','08/12/2003','1.840.00','1.840.00','0.00',36,'51.11',''
791,'PORTATIL TOSHIBA S','24/12/2003','3.527.03','3.527.03','0.00',36,'97.97',''
798,'CALCULADORA CASIO','26/12/2003','0.00','0.00','0.00',36,'0.00',''
829,'IMP.EPSON FX-2190','05/02/2004','1.545.78','1.545.78','0.00',36,'42.94',''
830,'CONTADORES DE BILL','05/02/2004','1.077.59','1.077.59','0.00',36,'29.93',''
831,'CONTADORES DE BILL','05/02/2004','1.077.59','1.077.59','0.00',36,'29.93',''
851,'CPU INTEL PENTIUM','13/04/2004','1.695.95','1.695.95','0.00',36,'47.11',''
872,'MOUSE GENIUS SERIA','07/06/2004','12.93','12.93','0.00',36,'0.36',''
888,'INTERCOMUNICADOR C','29/06/2004','146.00','146.00','0.00',36,'4.06',''
932,'CORNETAS SPEAKER','19/08/2004','8.00','8.00','0.00',36,'0.22',''
958,'BATERIA 1000 AMP.P','15/10/2004','156.52','156.52','0.00',36,'4.35',''
959,'BATERIA 1000 AMP.P','15/10/2004','156.52','156.52','0.00',36,'4.35',''
960,'BATERIA 1000 AMP.P','15/10/2004','156.52','156.52','0.00',36,'4.35',''
961,'BATERIA 1000 AMP.P','15/10/2004','156.52','156.52','0.00',36,'4.35',''
962,'BATERIA 1000 AMP.P','15/10/2004','156.52','156.52','0.00',36,'4.35',''
964,'IMP.EPSON FX-890 9','18/10/2004','1.013.91','1.013.91','0.00',36,'28.16',''
967,'TARJETA RED INALAM','18/10/2004','112.17','112.17','0.00',36,'3.12',''
969,'TARJETA RED INALAM','18/10/2004','112.17','112.17','0.00',36,'3.12',''
970,'IMP.EPSON FX-890 9','18/10/2004','1.013.91','1.013.91','0.00',36,'28.16',''
986,'SWICTH 8 PUERTOS 1','10/11/2004','45.22','45.22','0.00',36,'1.26',''
1026,'MOUSE TREKKER','11/01/2005','0.00','0.00','0.00',36,'0.00',''
1027,'PROTECTOR NEVERA E','13/01/2005','42.45','42.44','0.01',36,'1.18',0
1046,'MOUSE GENIUS PS2','28/02/2005','8.95','8.45','0.50',36,'0.25',2
1050,'IMP.EPSON FX-890','28/02/2005','905.91','905.90','0.01',36,'25.16',0
1054,'CPU AMD SEMPRON','28/02/2005','864.87','864.86','0.01',36,'24.02',0
1079,'TECLADO GENIUS ESP','30/03/2005','44.90','44.88','0.02',36,'1.25',0
1090,'SUMADORA CASIO 12','07/05/2005','159.00','158.97','0.03',36,'4.42',0
1091,'SUMADORA CASIO 12','07/05/2005','159.00','158.97','0.03',36,'4.42',0
1100,'SWITH 24 PUERTOS S','18/05/2005','220.00','219.99','0.01',36,'6.11',0
1121,'CPU INEL PENTIUM 4','31/05/2005','1.656.08','1.656.07','0.01',36,'46.00',0
1128,'CORNETAS AZUL Y GR','31/05/2005','0.00','0.00','0.00',36,'0.00',''
1137,'IMPRESORA CANON PI','31/05/2005','128.35','128.32','0.03',36,'3.57',0
1199,'CPU INTEL PENTIUM','14/07/2005','775.21','775.19','0.02',36,'21.53',0
1203,'MEMORIA PORTATIL 1','14/07/2005','217.60','217.57','0.03',36,'6.04',0
1222,'CPU','08/08/2005','644.19','644.15','0.04',36,'17.89',0
1224,'TECLADO INALAMBRIC','08/08/2005','41.74','41.66','0.08',36,'1.16',0
1225,'MOUSE   INALAMBRIC','08/08/2005','41.74','41.66','0.08',36,'1.16',0
1226,'REGULADOR VOLTAGE','08/08/2005','29.57','28.74','0.83',36,'0.82',1
1227,'UPS 500 VA ADVANCE','08/08/2005','104.35','104.28','0.07',36,'2.90',0
1228,'USB ADVANTEK INALA','08/08/2005','105.24','105.21','0.03',36,'2.92',0
1229,'ROUTER Y BASE CENT','08/08/2005','175.65','175.58','0.07',36,'4.88',0
1232,'CPU INTEL CELERON','19/08/2005','717.68','717.64','0.04',36,'19.94',0
1234,'MONITOR SVGA  15"','19/08/2005','241.74','241.70','0.04',36,'6.72',0
1243,'MEMORY PEND CARD U','20/09/2005','65.22','65.20','0.02',36,'1.81',0
1266,'SOPLADORA PARA LIM','18/11/2005','195.00','194.93','0.07',36,'5.42',0
1283,'TECLADO GENIUS NEG','18/11/2005','17.37','16.38','0.99',36,'0.48',2
1286,'CORNETAS','18/11/2005','0.00','0.00','0.00',36,'0.00',''
1291,'HUB LINLK','21/11/2005','0.00','0.00','0.00',36,'0.00',''
1297,'MOUSE GENIUS PS 2','22/11/2005','9.12','8.34','0.78',36,'0.25',3
1347,'MONITOR SVGA 15','03/02/2006','214.91','214.77','0.14',36,'5.97',0
1348,'MONITOR SVGA 15','03/02/2006','214.91','214.77','0.14',36,'5.97',0
1349,'MONITOR SVGA 15','03/02/2006','214.91','214.77','0.14',36,'5.97',0
1353,'REGULADOR DE VOLTA','03/02/2006','28.95','28.09','0.86',36,'0.80',1
1357,'CALCULADORA CANON','11/02/2006','165.00','164.95','0.05',36,'4.58',0
1372,'CPU  ATX ONE L-338','10/03/2006','846.05','846.03','0.02',36,'23.50',0
1373,'TECLADO GENIUS PS/','10/03/2006','16.23','15.32','0.91',36,'0.45',2
1376,'TECLADO GENIUS','10/03/2006','16.23','15.32','0.91',36,'0.45',2
1397,'MONITOR','10/03/2006','0.00','0.00','0.00',36,'0.00',''
1403,'REGULADOR INTERPOW','10/03/2006','0.00','0.00','0.00',36,'0.00',''
1406,'MODEM MULTIMEDIA 5','10/03/2006','0.00','0.00','0.00',36,'0.00',''
1428,'FAX SHARP UX-P100','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1431,'SWITCH 8 PUERTOS A','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1433,'SWITCH CATALIST 37','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1434,'POWER HOUSE AVTEK','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1437,'TARJETA RED INALAM','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1452,'CPU','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1455,'PROBADOR PARA CABL','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1456,'SYMANTEC ANTIVIRUS','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1457,'SYMANETC ANTIV. VE','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1460,'TARJETA RED INALAM','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1464,'CARGADOR DE RADIO','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1466,'MINI GRABADORA AIW','14/03/2006','0.00','0.00','0.00',36,'0.00',''
1478,'MONITOR LCD 17" SA','20/03/2006','724.56','724.46','0.10',36,'20.13',0
1500,'PENDRIVER 2GB UNID','17/05/2006','258.77','258.63','0.14',36,'7.19',0
1515,'CALC.CANON MP41DHL','10/06/2006','150.00','149.88','0.12',36,'4.17',0
1516,'CALCULADORA CANON','10/06/2006','150.00','149.88','0.12',36,'4.17',0
1518,'TECLADO BENQ MOD I','12/06/2006','11.40','10.66','0.74',36,'0.32',2
1520,'TECLADO BENQ MOD I','12/06/2006','11.40','10.66','0.74',36,'0.32',2
1521,'MOUSE BENQ M106-P1','12/06/2006','14.04','13.26','0.78',36,'0.39',2
1522,'MOUSE BENQ M106-P1','12/06/2006','14.04','13.26','0.78',36,'0.39',2
1525,'PRINTHER HP 3940 D','12/06/2006','132.46','132.29','0.17',36,'3.68',0
1526,'CASE ATX SONIC PLA','14/06/2006','620.88','620.76','0.12',36,'17.25',0
1527,'TECLADO  SONIC PLA','14/06/2006','11.04','10.32','0.72',36,'0.31',2
1529,'CORNETAS SONIC','14/06/2006','15.00','14.06','0.94',36,'0.42',2
1550,'MOUSE    SONIC PLA','14/07/2006','14.04','13.26','0.78',36,'0.39',2
1553,'UPS 750 VA FORZA A','12/07/2006','160.96','160.94','0.02',36,'4.47',0
1573,'CASE ATX SONIC NEG','24/08/2006','825.44','825.26','0.18',36,'22.93',0
1574,'MEMORIA PEND DRIVE','06/09/2006','130.70','130.69','0.01',36,'3.63',0
1590,'UPS 600 VA OMEGA','23/09/2006','106.14','105.96','0.18',36,'2.95',0
1608,'CASE ATX DIAMAND-O','20/10/2006','756.37','756.36','0.01',36,'21.01',0
1609,'MOUSE GENIUS','20/10/2006','12.93','12.03','0.90',36,'0.36',3
1610,'TECLADO DIAMOND NE','20/10/2006','16.23','15.31','0.92',36,'0.45',2
1612,'REGULADOR DE VOLTA','20/10/2006','25.88','24.97','0.91',36,'0.72',1
1630,'CALCULADORA 14 DIG','27/10/2006','157.80','157.73','0.07',36,'4.38',0
1631,'CALCULADORA 14 DIG','27/10/2006','157.80','157.73','0.07',36,'4.38',0
1633,'DATA SWITCH AB MAN','31/10/2006','22.81','22.10','0.71',36,'0.63',1
1634,'MEMORY PEND CARD U','31/10/2006','60.53','60.50','0.03',36,'1.68',0
1639,'VISOR NOCTURNO','08/11/2006','300.00','299.92','0.08',36,'8.33',0
1664,'CPU SAMSUNG NEGRO','12/12/2006','800.09','799.98','0.11',36,'22.22',0
1665,'TECLADO OMEGA PS/2','12/12/2006','0.00','0.00','0.00',36,'0.00',''
1703,'IMP.DESK.HP D-1360','29/01/2007','144.74','144.73','0.01',36,'4.02',0
1722,'PROTECTOR AIRE 220','07/02/2007','83.33','83.21','0.12',36,'2.31',0
1729,'FAX LASER CANON L-','16/02/2007','1.275.00','1.274.83','0.17',36,'35.42',0
1733,'PEN CARD USB 2GB 2','28/02/2007','78.25','78.16','0.09',36,'2.17',0
1735,'MOUSE CHERRY OPTIC','28/02/2007','21.93','21.09','0.84',36,'0.61',1
1736,'UPS 500VA.ONE POWE','28/02/2007','109.65','109.50','0.15',36,'3.05',0
1740,'IMPRESORA LASERJET','28/02/2007','3.480.31','3.480.17','0.14',36,'96.68',0
1758,'FLASH MEMORY 256GB','12/03/2007','41.44','41.41','0.03',36,'1.15',0
1759,'FLASH MEMORY 256 G','12/03/2007','41.44','41.41','0.03',36,'1.15',0
1764,'CORNETAS COMBO','13/03/2007','0.00','0.00','0.00',36,'0.00',''
1780,'MOUSE','12/04/2007','0.00','0.00','0.00',36,'0.00',''
1788,'CORNETAS','24/04/2007','0.00','0.00','0.00',36,'0.00',''
1792,'HUB 8 PUERTOS ENCO','30/04/2007','52.25','52.21','0.04',36,'1.45',0
1802,'CASE DIAMONS NEGRO','08/05/2007','691.89','691.62','0.27',36,'19.22',0
1816,'MONITOR SVGA 17''''','18/05/2007','399.00','398.90','0.10',36,'11.08',0
1820,'MOUSE USB','18/05/2007','16.00','15.43','0.57',36,'0.44',1
1823,'TECLADO PS2','18/05/2007','21.00','20.32','0.68',36,'0.58',1
1828,'UPS CDP 500VA','18/05/2007','159.00','158.81','0.19',36,'4.42',0
1836,'CPU CASE GENERICO','30/05/2007','1.096.00','1.095.87','0.13',36,'30.44',0
1838,'MOUSE GENIUS PS/2','30/05/2007','16.00','15.43','0.57',36,'0.44',1
1841,'MOUSE USB','30/05/2007','16.00','15.43','0.57',36,'0.44',1
1843,'TECLADO PS/2','30/05/2007','21.00','20.32','0.68',36,'0.58',1
1845,'TECLADO USB NEGRO','30/05/2007','40.00','39.97','0.03',36,'1.11',0
1866,'PENDRIVE 512 MARCA','12/06/2007','49.90','49.72','0.18',36,'1.39',0
1869,'CALCULADORA CANON','13/06/2007','189.78','189.73','0.05',36,'5.27',0
1870,'CALCULADORA CANON','13/06/2007','189.78','189.73','0.05',36,'5.27',0
1904,'TECLADO GENIUS PUE','30/06/2007','21.00','20.32','0.68',36,'0.58',1
1910,'TECLADO GENIUS PUE','30/06/2007','21.00','20.32','0.68',36,'0.58',1
1911,'REGULADOR DE VOLTA','30/06/2007','46.90','46.82','0.08',36,'1.30',0
1913,'PEN DRIVE 2GB MARC','30/06/2007','89.50','89.32','0.18',36,'2.49',0
1914,'MONITOR AOC CRT 17','30/06/2007','375.00','374.80','0.20',36,'10.42',0
1959,'MOUSE GENIUS 2 BOT','21/07/2007','16.90','16.15','0.75',36,'0.47',2
1962,'TECLADO GENIUS 105','21/07/2007','21.00','20.32','0.68',36,'0.58',1
1965,'SCANER BEN Q','21/07/2007','189.00','189.00','0.00',36,'5.25',''
1967,'REGULADOR VOLTAJE','21/07/2007','46.90','46.81','0.09',36,'1.30',0
1968,'PEN DRIVE 1 GB USB','21/07/2007','54.90','54.75','0.15',36,'1.53',0
1973,'PENDRIVE 1 GB','31/07/2007','33.00','32.79','0.21',36,'0.92',0
1985,'LECTOR DE CODIGOS','16/08/2007','1.320.00','1.319.79','0.21',36,'36.67',0
2014,'TECLADO GENIUS PUE','27/08/2007','18.90','18.22','0.68',36,'0.53',1
2044,'CALC.CASIO 12 DIG.','14/09/2007','169.00','168.85','0.15',36,'4.69',0
2045,'CALC.CASIO 12 DIG.','14/09/2007','169.00','168.85','0.15',36,'4.69',0
2046,'CALCULADORA CASIO','14/09/2007','169.00','168.85','0.15',36,'4.69',0
2087,'MOUSE/USB/GENIUS C','10/10/2007','26.15','0.00','26.15',36,'0.73',36
2088,'CALCULADORA ELECTR','10/10/2007','169.90','169.58','0.32',36,'4.72',0
2089,'CALC.CASIO 12DIG D','10/10/2007','169.90','169.58','0.32',36,'4.72',0
2090,'CALCULADORA ELECTR','10/10/2007','169.90','169.58','0.32',36,'4.72',0
2135,'TECLADO GENIUS PUE','22/10/2007','33.90','33.84','0.06',36,'0.94',0
2136,'TECLADO GENIUS PUE','22/10/2007','33.90','33.84','0.06',36,'0.94',0
2140,'MOUSE GENIUS 2 BOT','22/10/2007','25.90','25.58','0.32',36,'0.72',0
2144,'MOUSE GENIUS PS2 2','22/10/2007','25.90','25.56','0.34',36,'0.72',0
2145,'MOUSE GENIUS 2 BOT','22/10/2007','25.90','25.56','0.34',36,'0.72',0
2167,'REGULADOR DE VOLTA','20/11/2007','49.90','49.69','0.21',36,'1.39',0
2179,'MONITOR HANNS 17"L','29/11/2007','750.00','749.88','0.12',36,'20.83',0
2180,'MONITOR HANNS 17"','29/11/2007','750.00','749.88','0.12',36,'20.83',0
2226,'IMPRESORA DE TICKE','17/12/2007','1.137.62','1.137.60','0.02',36,'31.60',0
2289,'CALCULADORA ELECTR','23/01/2008','227.00','226.80','0.20',36,'6.31',0
2338,'CPU NEGRO/PLATEADO','11/02/2008','1.845.00','1.845.00','0.00',36,'51.25',''
2341,'TECLADO NEGRO','11/02/2008','1.00','0.00','1.00',36,'0.03',36
2342,'TECLADO NEGRO','11/02/2008','1.00','0.00','1.00',36,'0.03',36
2343,'MOUSE GENIUS PS/2','11/02/2008','1.00','0.00','1.00',36,'0.03',36
2344,'MOUSE 2 BOTONES','11/02/2008','1.00','0.00','1.00',36,'0.03',36
2352,'SWITCH 4 PUERTOS','26/03/2008','325.00','324.72','0.28',36,'9.03',0
2364,'PEND DRIVE 512MB','29/02/2008','99.00','99.00','0.00',36,'2.75',''
2367,'CASE FOXCONN NEG/P','31/03/2008','1.813.00','0.00','1.813.00',36,'50.36',36
2368,'TECLADO USB BLACK','31/03/2008','55.00','0.00','55.00',36,'1.53',36
2380,'DESTRUC.PAPEL 2424','28/03/2008','1.598.00','1.597.68','0.32',36,'44.39',0
2381,'CALC.12DIG.MP11DX','05/04/2008','295.00','294.84','0.16',36,'8.19',0
2384,'SWITCH 8 PUERTOS','05/04/2008','91.00','90.72','0.28',36,'2.53',0
2385,'CASE TIPO RACK','05/04/2008','800.00','799.92','0.08',36,'22.22',0
2389,'MONITOR LCD 17" NE','15/04/2008','1.055.00','0.00','1.055.00',36,'29.31',36
2406,'MAUSE PS2 OPTICAL','22/04/2008','32.00','31.68','0.32',36,'0.89',0
2409,'MOUSE PS2 OPTICAL','22/04/2008','32.00','31.68','0.32',36,'0.89',0
2411,'REG.VILTAJE 1000VA','22/04/2008','69.00','0.00','69.00',36,'1.92',36
2432,'MOUSE BENQ OPTICO','13/05/2008','34.00','0.00','34.00',36,'0.94',36
2433,'MONITOR SVGA 17" A','12/05/2008','427.00','0.00','427.00',36,'11.86',36
2438,'IMP.EPSON FX-890','12/05/2008','2.089.00','0.00','2.089.00',36,'58.03',36
2460,'CALC.CANON 12 DIG.','12/06/2008','314.00','0.00','314.00',36,'8.72',36
2464,'CASE NEGRO/PLATEAD','13/06/2008','1.240.00','0.00','1.240.00',36,'34.44',36
2466,'UPS APC DE 750vA','16/06/2008','499.00','0.00','499.00',36,'13.86',36
2489,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2490,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2491,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2492,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2493,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2495,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2496,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2497,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2498,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2499,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2500,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2501,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2502,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2503,'PALM TREO 680','07/07/2008','1.00','0.00','1.00',36,'0.03',36
2509,'CPU FOXCONN ATX300','09/07/2008','1.087.00','0.00','1.087.00',36,'30.19',36
2513,'TECLADO GENIUS PS2','09/07/2008','35.00','0.00','35.00',36,'0.97',36
2516,'TECLADO GENIUS PS2','09/07/2008','35.00','0.00','35.00',36,'0.97',36
2521,'MOUSE GENIUS PS2 2','09/07/2008','32.00','0.00','32.00',36,'0.89',36
2522,'MOUSE GENIUS PS2 2','09/07/2008','32.00','0.00','32.00',36,'0.89',36
2524,'MOUSE GENIUS PS2 2','09/07/2008','32.00','0.00','32.00',36,'0.89',36
2525,'MOUSE GENIUS PS2 2','09/07/2008','32.00','0.00','32.00',36,'0.89',36
2528,'REG.DE VOL.5 ENTRA','09/07/2008','57.00','0.00','57.00',36,'1.58',36
2529,'MONITOR CTR 17"','09/07/2008','530.00','0.00','530.00',36,'14.72',36
2559,'CPU INTEL 1.80GHZ','12/08/2008','1.112.00','0.00','1.112.00',36,'30.89',36
2562,'TECLADO GENIUS PS2','12/08/2008','35.00','0.00','35.00',36,'0.97',36
2567,'MOUSE GENIUS PS2 2','12/08/2008','32.00','0.00','32.00',36,'0.89',36
2568,'SWITCH D-LINK 4 PT','12/08/2008','195.00','0.00','195.00',36,'5.42',36
2570,'PEN DRIVE 1GB USB','12/08/2008','42.00','0.00','42.00',36,'1.17',36
2582,'PEN DRIVE 1GB USB','12/08/2008','42.00','0.00','42.00',36,'1.17',36
2585,'MONITOR LCD 19" LG','12/08/2008','1.097.00','0.00','1.097.00',36,'30.47',36
2586,'MONITOR LCD 19" LG','12/08/2008','1.097.00','0.00','1.097.00',36,'30.47',36
2587,'MONITOR LCD 19" LG','12/08/2008','1.097.00','0.00','1.097.00',36,'30.47',36
2588,'MONITOR LCD 19" LG','12/08/2008','1.097.00','0.00','1.097.00',36,'30.47',36
2589,'MONITOR LCD 19" LG','12/08/2008','1.097.00','0.00','1.097.00',36,'30.47',36
2590,'MONITOR LCD 19" LG','12/08/2008','1.097.00','0.00','1.097.00',36,'30.47',36
2644,'CALC.CANON 12 DIG','05/09/2008','412.00','0.00','412.00',36,'11.44',36
2645,'CALC.CASIO 12 DIG.','05/09/2008','412.00','0.00','412.00',36,'11.44',36
2651,'ROUTER 300MB TP-LI','31/08/2008','289.00','288.72','0.28',36,'8.03',0
2652,'ANTENA TPLINK 2.4G','31/08/2008','28.00','27.72','0.28',36,'0.78',0
2653,'ANTENA TPLINK 2.4G','31/08/2008','28.00','27.72','0.28',36,'0.78',0
2687,'CAMARA KODAK C813','06/09/2008','430.00','429.84','0.16',36,'11.94',0
2700,'CASE PARA RACK NEG','10/09/2008','1.050.00','1.049.76','0.24',36,'29.17',0
2701,'CASE PARA RACK','10/09/2008','1.050.00','1.049.76','0.24',36,'29.17',0
2702,'CASE PARA RACK','10/09/2008','1.050.00','1.049.76','0.24',36,'29.17',0
2709,'MOUSE GENIUS PS2 O','12/09/2008','33.00','32.76','0.24',36,'0.92',0
2714,'CALC.CANON 14 DIG.','07/10/2008','259.00','258.84','0.16',36,'7.19',0
2715,'CALC.CANON 14 DIG.','07/10/2008','259.00','258.84','0.16',36,'7.19',0
2717,'CALC.CANON 14 DIG.','07/10/2008','259.00','258.84','0.16',36,'7.19',0
2775,'TECLADO GENIUS PS2','10/11/2008','31.00','30.10','0.90',36,'0.86',1
2777,'TECLADO GENIUS PS2','10/11/2008','31.00','30.10','0.90',36,'0.86',1
2778,'TECLADO GENIUS PS2','10/11/2008','31.00','30.10','0.90',36,'0.86',1
2779,'TECLADO GENIUS PS2','10/11/2008','31.00','30.10','0.90',36,'0.86',1
2781,'MOUSE GENIUS PS2','10/11/2008','31.00','30.10','0.90',36,'0.86',1
2782,'MOUSE GENIUS PS2','10/11/2008','31.00','30.10','0.90',36,'0.86',1
2786,'REG.DE VOLT.1000VA','10/11/2008','69.00','68.76','0.24',36,'1.92',0
2787,'REG.DE VOLT.1000VA','10/11/2008','69.00','68.76','0.24',36,'1.92',0
2788,'REGLETA 6 SAL.110V','10/11/2008','29.00','28.80','0.20',36,'0.81',0
2789,'REGLETA 6 SAL.110V','10/11/2008','29.00','28.80','0.20',36,'0.81',0
2791,'CASE PORTA DISC.3.','11/11/2008','372.00','371.88','0.12',36,'10.33',0
2792,'WIRELESS ETHERNET','11/11/2008','78.00','77.76','0.24',36,'2.17',0
2793,'WIRELESS ETHERNET','11/11/2008','78.00','77.76','0.24',36,'2.17',0
2794,'MONITOR LCD 19" LG','11/11/2008','789.00','788.76','0.24',36,'21.92',0
2795,'TECLADO USB','11/11/2008','1.00','0.00','1.00',36,'0.03',36
2796,'MOUSE OPTICO 2 BOT','11/11/2008','1.00','0.00','1.00',36,'0.03',36
2797,'CORNETAS PARA PC.','11/11/2008','1.00','0.00','1.00',36,'0.03',36
2807,'POWER HOUSE 1500 V','06/11/2008','2.343.00','2.342.88','0.12',36,'65.08',0
2809,'CASE PARA RACK','22/11/2008','1.235.00','1.234.80','0.20',36,'34.31',0
2810,'CASE PARA RACK','22/11/2008','1.235.00','1.234.80','0.20',36,'34.31',0
2811,'MOUSE PAD GENERICO','07/11/2008','10.00','9.18','0.82',36,'0.28',3
2817,'MONITOR LCD 19" LG','05/12/2008','752.00','751.68','0.32',36,'20.89',0
2818,'MOUSE PAD GENERICO','07/11/2008','10.00','9.18','0.82',36,'0.28',3
2825,'CAPTA HUELLAS LCD','04/12/2008','2.101.00','2.100.96','0.04',36,'58.36',0
2832,'IMP.HP DESK.D4160','01/12/2008','245.00','244.80','0.20',36,'6.81',0
2833,'SWITCH D-LINK 2 PU','01/12/2008','175.00','174.96','0.04',36,'4.86',0
2839,'MONITOR LCD 19" LG','09/12/2008','716.00','715.68','0.32',36,'19.89',0
2840,'MONITOR LCD 19" LG','09/12/2008','716.00','715.68','0.32',36,'19.89',0
2878,'CASE PARA RACK.FUE','05/01/2009','1.330.00','1.329.84','0.16',36,'36.94',0
2879,'CASE PARA RACK.FUE','05/01/2009','1.330.00','1.329.84','0.16',36,'36.94',0
2880,'MODEN ANYDATA-E105','06/02/2009','384.00','383.76','0.24',36,'10.67',0
2887,'MONITOR LCD 16" AO','21/01/2009','523.00','0.00','523.00',36,'14.53',36
